region_shp,year,type,works_count,cited_by_count,inst_count
Adygey,2012,education,8,25,2
Adygey,2012,other,5,28,1
Adygey,2013,education,13,31,2
Adygey,2013,other,5,37,1
Adygey,2014,education,11,31,2
Adygey,2014,other,3,42,1
Adygey,2015,education,70,45,2
Adygey,2015,other,4,27,1
Adygey,2016,education,38,46,2
Adygey,2016,other,4,29,1
Adygey,2017,education,41,43,2
Adygey,2017,other,4,26,1
Adygey,2018,education,56,50,2
Adygey,2018,other,4,44,1
Adygey,2019,education,114,92,2
Adygey,2019,other,3,34,1
Adygey,2020,education,179,259,2
Adygey,2020,other,9,49,1
Adygey,2021,education,257,449,2
Adygey,2021,other,6,71,1
Adygey,2022,education,276,427,2
Adygey,2022,other,9,101,1
Adygey,2023,education,228,545,2
Adygey,2023,other,6,66,1
Adygey,2024,education,51,155,2
Adygey,2024,other,0,27,1
Altay,2012,education,122,498,8
Altay,2012,facility,0,9,1
Altay,2012,healthcare,10,0,2
Altay,2012,other,1,0,1
Altay,2013,education,163,608,8
Altay,2013,facility,1,11,1
Altay,2013,healthcare,7,0,1
Altay,2013,other,2,1,1
Altay,2014,education,191,660,8
Altay,2014,facility,2,7,2
Altay,2014,healthcare,5,1,2
Altay,2015,education,363,782,8
Altay,2015,facility,9,6,2
Altay,2015,healthcare,13,2,2
Altay,2016,education,409,1106,8
Altay,2016,facility,9,11,1
Altay,2016,healthcare,10,16,2
Altay,2016,other,0,1,1
Altay,2017,education,512,1332,8
Altay,2017,facility,3,8,1
Altay,2017,healthcare,11,22,2
Altay,2018,education,756,1987,8
Altay,2018,facility,9,10,2
Altay,2018,healthcare,21,28,2
Altay,2018,other,5,1,1
Altay,2019,education,1116,3650,8
Altay,2019,facility,15,12,2
Altay,2019,healthcare,21,71,2
Altay,2019,other,15,20,1
Altay,2020,education,1115,5229,8
Altay,2020,facility,16,16,2
Altay,2020,healthcare,20,186,2
Altay,2020,other,13,74,1
Altay,2021,education,1275,5661,8
Altay,2021,facility,35,28,2
Altay,2021,healthcare,32,424,2
Altay,2021,other,1,62,1
Altay,2022,education,1198,6496,8
Altay,2022,facility,16,40,2
Altay,2022,healthcare,42,476,2
Altay,2022,other,1,109,1
Altay,2023,education,991,8214,7
Altay,2023,facility,8,49,2
Altay,2023,healthcare,26,491,2
Altay,2023,other,3,119,1
Altay,2024,education,198,1901,8
Altay,2024,facility,3,15,2
Altay,2024,healthcare,5,178,2
Altay,2024,other,0,19,1
Amur,2012,education,36,119,3
Amur,2012,facility,56,176,4
Amur,2012,healthcare,7,1,1
Amur,2013,education,28,172,3
Amur,2013,facility,63,284,4
Amur,2013,healthcare,7,8,1
Amur,2014,education,63,197,3
Amur,2014,facility,57,268,4
Amur,2014,healthcare,13,14,1
Amur,2015,education,76,249,3
Amur,2015,facility,52,304,4
Amur,2015,healthcare,15,5,1
Amur,2016,education,71,416,3
Amur,2016,facility,64,423,4
Amur,2016,healthcare,31,10,1
Amur,2017,education,81,503,3
Amur,2017,facility,76,477,4
Amur,2017,healthcare,49,23,1
Amur,2018,education,189,486,4
Amur,2018,facility,99,452,4
Amur,2018,healthcare,49,23,1
Amur,2019,education,270,575,4
Amur,2019,facility,163,562,4
Amur,2019,healthcare,58,37,1
Amur,2020,education,313,769,4
Amur,2020,facility,148,737,4
Amur,2020,healthcare,55,62,1
Amur,2021,education,482,905,4
Amur,2021,facility,162,769,4
Amur,2021,healthcare,53,63,1
Amur,2022,education,869,838,4
Amur,2022,facility,149,861,4
Amur,2022,healthcare,110,123,1
Amur,2023,education,432,1007,4
Amur,2023,facility,103,794,4
Amur,2023,healthcare,58,199,1
Amur,2024,education,29,224,3
Amur,2024,facility,14,288,4
Amur,2024,healthcare,10,48,1
Arkhangel'sk,2012,archive,2,22,1
Arkhangel'sk,2012,education,160,698,5
Arkhangel'sk,2012,facility,26,114,1
Arkhangel'sk,2012,healthcare,8,38,2
Arkhangel'sk,2013,archive,1,27,2
Arkhangel'sk,2013,education,204,918,6
Arkhangel'sk,2013,facility,27,220,1
Arkhangel'sk,2013,healthcare,7,31,2
Arkhangel'sk,2014,archive,0,37,2
Arkhangel'sk,2014,education,215,1004,6
Arkhangel'sk,2014,facility,30,235,1
Arkhangel'sk,2014,healthcare,14,27,2
Arkhangel'sk,2015,archive,0,28,2
Arkhangel'sk,2015,education,256,1184,5
Arkhangel'sk,2015,facility,33,360,1
Arkhangel'sk,2015,healthcare,8,45,2
Arkhangel'sk,2016,archive,0,24,2
Arkhangel'sk,2016,education,268,1284,5
Arkhangel'sk,2016,facility,30,346,1
Arkhangel'sk,2016,healthcare,15,59,2
Arkhangel'sk,2017,archive,2,24,2
Arkhangel'sk,2017,education,363,1590,6
Arkhangel'sk,2017,facility,13,481,1
Arkhangel'sk,2017,healthcare,8,225,2
Arkhangel'sk,2018,archive,6,25,2
Arkhangel'sk,2018,education,495,2191,6
Arkhangel'sk,2018,facility,2,516,1
Arkhangel'sk,2018,healthcare,13,272,2
Arkhangel'sk,2019,archive,20,43,2
Arkhangel'sk,2019,education,689,3134,6
Arkhangel'sk,2019,facility,7,520,1
Arkhangel'sk,2019,healthcare,20,274,2
Arkhangel'sk,2020,archive,4,164,2
Arkhangel'sk,2020,education,719,4590,6
Arkhangel'sk,2020,facility,9,573,1
Arkhangel'sk,2020,healthcare,18,409,2
Arkhangel'sk,2021,archive,2,48,2
Arkhangel'sk,2021,education,685,5329,7
Arkhangel'sk,2021,facility,8,639,1
Arkhangel'sk,2021,healthcare,19,603,2
Arkhangel'sk,2022,archive,3,95,2
Arkhangel'sk,2022,education,705,6163,6
Arkhangel'sk,2022,facility,5,659,1
Arkhangel'sk,2022,healthcare,18,605,2
Arkhangel'sk,2023,archive,5,120,2
Arkhangel'sk,2023,education,633,6499,6
Arkhangel'sk,2023,facility,6,623,1
Arkhangel'sk,2023,healthcare,11,638,2
Arkhangel'sk,2024,archive,1,30,2
Arkhangel'sk,2024,education,153,2230,6
Arkhangel'sk,2024,facility,3,206,1
Arkhangel'sk,2024,healthcare,5,205,2
Astrakhan',2012,education,78,168,6
Astrakhan',2012,facility,1,7,1
Astrakhan',2012,other,0,13,1
Astrakhan',2013,education,117,170,6
Astrakhan',2013,facility,2,4,1
Astrakhan',2013,other,1,15,1
Astrakhan',2014,education,120,273,6
Astrakhan',2014,facility,1,5,1
Astrakhan',2014,other,1,18,1
Astrakhan',2015,education,148,327,6
Astrakhan',2015,facility,0,3,1
Astrakhan',2015,other,2,9,1
Astrakhan',2016,education,143,348,6
Astrakhan',2016,facility,4,1,2
Astrakhan',2016,other,2,7,1
Astrakhan',2017,education,270,447,6
Astrakhan',2017,facility,4,6,1
Astrakhan',2017,other,2,7,1
Astrakhan',2018,education,381,513,6
Astrakhan',2018,facility,8,10,2
Astrakhan',2018,other,6,13,1
Astrakhan',2019,education,519,749,6
Astrakhan',2019,facility,2,18,1
Astrakhan',2019,other,7,19,1
Astrakhan',2020,education,536,1119,6
Astrakhan',2020,facility,3,19,2
Astrakhan',2020,other,8,25,1
Astrakhan',2021,education,703,1319,6
Astrakhan',2021,facility,1,34,2
Astrakhan',2021,other,4,44,1
Astrakhan',2022,education,738,1628,6
Astrakhan',2022,facility,1,19,2
Astrakhan',2022,other,3,77,1
Astrakhan',2023,education,625,1900,6
Astrakhan',2023,facility,0,32,1
Astrakhan',2023,other,4,49,1
Astrakhan',2024,education,120,607,6
Astrakhan',2024,facility,0,6,1
Astrakhan',2024,other,1,25,1
Bashkortostan,2012,education,384,3109,9
Bashkortostan,2012,facility,398,3061,11
Bashkortostan,2012,healthcare,9,0,1
Bashkortostan,2012,nonprofit,35,188,1
Bashkortostan,2013,company,2,1,2
Bashkortostan,2013,education,445,3598,10
Bashkortostan,2013,facility,372,3642,10
Bashkortostan,2013,healthcare,4,1,1
Bashkortostan,2013,nonprofit,50,218,1
Bashkortostan,2014,company,1,0,1
Bashkortostan,2014,education,615,4083,11
Bashkortostan,2014,facility,520,4303,11
Bashkortostan,2014,healthcare,12,5,1
Bashkortostan,2014,nonprofit,36,259,1
Bashkortostan,2015,company,2,0,1
Bashkortostan,2015,education,894,4695,11
Bashkortostan,2015,facility,679,5362,11
Bashkortostan,2015,healthcare,12,15,1
Bashkortostan,2015,nonprofit,43,269,1
Bashkortostan,2016,company,3,2,2
Bashkortostan,2016,education,875,4644,11
Bashkortostan,2016,facility,690,6671,11
Bashkortostan,2016,healthcare,11,36,1
Bashkortostan,2016,nonprofit,47,289,1
Bashkortostan,2017,company,2,1,2
Bashkortostan,2017,education,1137,5918,10
Bashkortostan,2017,facility,661,8550,11
Bashkortostan,2017,healthcare,17,41,1
Bashkortostan,2017,nonprofit,56,271,1
Bashkortostan,2018,company,2,2,2
Bashkortostan,2018,education,1745,7061,11
Bashkortostan,2018,facility,885,10671,11
Bashkortostan,2018,healthcare,24,42,1
Bashkortostan,2018,nonprofit,59,288,1
Bashkortostan,2019,company,3,2,1
Bashkortostan,2019,education,2362,9043,11
Bashkortostan,2019,facility,1088,13275,11
Bashkortostan,2019,healthcare,19,77,1
Bashkortostan,2019,nonprofit,71,400,1
Bashkortostan,2020,company,2,8,2
Bashkortostan,2020,education,2611,11052,11
Bashkortostan,2020,facility,1135,15728,11
Bashkortostan,2020,healthcare,27,104,1
Bashkortostan,2020,nonprofit,74,478,1
Bashkortostan,2021,company,2,3,2
Bashkortostan,2021,education,3177,13157,11
Bashkortostan,2021,facility,1168,18253,11
Bashkortostan,2021,healthcare,33,145,1
Bashkortostan,2021,nonprofit,90,530,1
Bashkortostan,2022,company,1,5,2
Bashkortostan,2022,education,2753,13848,11
Bashkortostan,2022,facility,1064,19024,11
Bashkortostan,2022,healthcare,38,167,1
Bashkortostan,2022,nonprofit,47,535,1
Bashkortostan,2023,company,2,5,2
Bashkortostan,2023,education,1251,14825,11
Bashkortostan,2023,facility,1127,19284,11
Bashkortostan,2023,healthcare,28,198,1
Bashkortostan,2023,nonprofit,31,508,1
Bashkortostan,2024,company,1,0,1
Bashkortostan,2024,education,381,5501,10
Bashkortostan,2024,facility,268,7250,11
Bashkortostan,2024,healthcare,8,74,1
Bashkortostan,2024,nonprofit,5,137,1
Belgorod,2012,company,0,1,1
Belgorod,2012,education,182,482,5
Belgorod,2013,education,188,550,5
Belgorod,2014,education,264,919,6
Belgorod,2015,education,290,1340,6
Belgorod,2016,company,0,1,1
Belgorod,2016,education,464,1756,6
Belgorod,2017,company,0,1,1
Belgorod,2017,education,582,2286,6
Belgorod,2018,company,0,1,1
Belgorod,2018,education,1002,3105,6
Belgorod,2018,facility,0,1,1
Belgorod,2019,company,0,1,1
Belgorod,2019,education,1312,4164,6
Belgorod,2019,facility,0,1,1
Belgorod,2020,company,0,1,1
Belgorod,2020,education,1410,5397,6
Belgorod,2020,facility,1,2,1
Belgorod,2021,education,1996,7202,6
Belgorod,2021,facility,0,1,1
Belgorod,2022,education,1468,8276,6
Belgorod,2022,facility,2,0,1
Belgorod,2023,education,1171,9313,6
Belgorod,2023,facility,1,0,1
Belgorod,2024,education,242,3342,6
Belgorod,2024,facility,0,1,1
Bryansk,2012,archive,1,0,1
Bryansk,2012,education,45,153,4
Bryansk,2013,education,48,176,4
Bryansk,2013,facility,1,0,1
Bryansk,2014,education,62,187,4
Bryansk,2014,facility,1,1,1
Bryansk,2015,education,121,233,4
Bryansk,2015,facility,5,2,1
Bryansk,2016,education,212,289,4
Bryansk,2016,facility,1,0,1
Bryansk,2017,archive,0,1,1
Bryansk,2017,education,235,431,4
Bryansk,2017,facility,1,0,1
Bryansk,2018,education,251,502,4
Bryansk,2018,facility,0,2,1
Bryansk,2019,archive,2,1,1
Bryansk,2019,education,395,715,4
Bryansk,2019,facility,1,4,1
Bryansk,2020,archive,1,0,1
Bryansk,2020,education,363,1050,4
Bryansk,2020,facility,1,6,1
Bryansk,2021,archive,2,1,1
Bryansk,2021,education,515,1132,4
Bryansk,2021,facility,10,3,1
Bryansk,2022,archive,1,0,1
Bryansk,2022,education,417,986,4
Bryansk,2022,facility,6,3,1
Bryansk,2023,archive,3,0,1
Bryansk,2023,education,216,1045,4
Bryansk,2023,facility,31,2,1
Bryansk,2024,education,55,277,4
Bryansk,2024,facility,12,1,1
Buryat,2012,education,61,83,4
Buryat,2012,facility,103,377,4
Buryat,2012,other,6,51,1
Buryat,2013,education,30,64,3
Buryat,2013,facility,110,511,4
Buryat,2013,other,16,53,1
Buryat,2014,education,45,117,3
Buryat,2014,facility,123,576,4
Buryat,2014,other,23,68,1
Buryat,2015,education,105,132,3
Buryat,2015,facility,146,731,4
Buryat,2015,other,20,95,1
Buryat,2016,archive,2,0,1
Buryat,2016,education,122,190,3
Buryat,2016,facility,123,698,4
Buryat,2016,other,25,101,1
Buryat,2017,education,114,230,3
Buryat,2017,facility,169,936,4
Buryat,2017,other,32,120,1
Buryat,2018,archive,0,1,1
Buryat,2018,education,121,298,4
Buryat,2018,facility,259,1128,4
Buryat,2018,other,41,147,1
Buryat,2019,education,219,472,4
Buryat,2019,facility,349,1541,4
Buryat,2019,other,103,237,1
Buryat,2020,archive,0,1,1
Buryat,2020,education,247,611,4
Buryat,2020,facility,366,1917,4
Buryat,2020,other,74,507,1
Buryat,2021,archive,1,0,1
Buryat,2021,education,287,685,4
Buryat,2021,facility,406,2359,4
Buryat,2021,other,59,538,1
Buryat,2022,archive,1,0,1
Buryat,2022,education,248,624,4
Buryat,2022,facility,342,2644,4
Buryat,2022,other,62,745,1
Buryat,2023,archive,2,0,1
Buryat,2023,education,121,761,4
Buryat,2023,facility,268,2972,4
Buryat,2023,other,50,941,1
Buryat,2024,education,52,272,4
Buryat,2024,facility,61,968,4
Buryat,2024,other,10,175,1
Chechnya,2012,education,9,19,2
Chechnya,2012,facility,2,2,1
Chechnya,2013,education,12,25,3
Chechnya,2013,facility,1,0,1
Chechnya,2014,education,31,33,3
Chechnya,2014,facility,1,3,1
Chechnya,2015,education,41,44,3
Chechnya,2015,facility,7,5,1
Chechnya,2016,education,49,90,3
Chechnya,2016,facility,5,9,1
Chechnya,2017,education,67,102,3
Chechnya,2017,facility,5,13,1
Chechnya,2018,education,166,112,3
Chechnya,2018,facility,36,25,1
Chechnya,2019,education,251,170,3
Chechnya,2019,facility,33,80,1
Chechnya,2020,education,455,331,3
Chechnya,2020,facility,56,110,1
Chechnya,2021,education,844,664,3
Chechnya,2021,facility,97,165,1
Chechnya,2022,education,919,687,3
Chechnya,2022,facility,52,180,1
Chechnya,2023,education,798,1240,3
Chechnya,2023,facility,66,247,1
Chechnya,2024,education,51,261,3
Chechnya,2024,facility,10,69,1
Chelyabinsk,2012,company,35,42,5
Chelyabinsk,2012,education,243,822,10
Chelyabinsk,2012,facility,147,2177,4
Chelyabinsk,2012,government,15,143,1
Chelyabinsk,2012,healthcare,16,26,3
Chelyabinsk,2013,company,33,65,5
Chelyabinsk,2013,education,394,1084,12
Chelyabinsk,2013,facility,122,2344,3
Chelyabinsk,2013,government,17,138,1
Chelyabinsk,2013,healthcare,22,62,3
Chelyabinsk,2014,company,42,73,5
Chelyabinsk,2014,education,489,1415,11
Chelyabinsk,2014,facility,178,2566,3
Chelyabinsk,2014,government,13,137,1
Chelyabinsk,2014,healthcare,22,140,3
Chelyabinsk,2015,company,45,174,5
Chelyabinsk,2015,education,839,2079,11
Chelyabinsk,2015,facility,224,2937,3
Chelyabinsk,2015,government,11,158,1
Chelyabinsk,2015,healthcare,28,175,3
Chelyabinsk,2016,company,44,255,5
Chelyabinsk,2016,education,1089,2874,11
Chelyabinsk,2016,facility,198,3038,3
Chelyabinsk,2016,government,15,230,1
Chelyabinsk,2016,healthcare,42,214,3
Chelyabinsk,2017,company,46,311,5
Chelyabinsk,2017,education,1275,3775,11
Chelyabinsk,2017,facility,213,3479,3
Chelyabinsk,2017,government,11,209,1
Chelyabinsk,2017,healthcare,36,284,3
Chelyabinsk,2018,company,58,267,5
Chelyabinsk,2018,education,1785,5545,11
Chelyabinsk,2018,facility,217,3492,3
Chelyabinsk,2018,government,11,167,1
Chelyabinsk,2018,healthcare,26,292,3
Chelyabinsk,2019,company,63,366,5
Chelyabinsk,2019,education,2082,7557,11
Chelyabinsk,2019,facility,349,3777,2
Chelyabinsk,2019,government,16,174,1
Chelyabinsk,2019,healthcare,66,319,4
Chelyabinsk,2020,company,77,400,5
Chelyabinsk,2020,education,2951,12325,11
Chelyabinsk,2020,facility,332,4512,3
Chelyabinsk,2020,government,26,224,1
Chelyabinsk,2020,healthcare,71,352,4
Chelyabinsk,2020,other,1,0,1
Chelyabinsk,2021,company,85,385,5
Chelyabinsk,2021,education,3270,20096,11
Chelyabinsk,2021,facility,268,4655,4
Chelyabinsk,2021,government,31,239,1
Chelyabinsk,2021,healthcare,113,491,4
Chelyabinsk,2022,company,74,381,5
Chelyabinsk,2022,education,2608,29441,11
Chelyabinsk,2022,facility,294,4847,3
Chelyabinsk,2022,government,30,316,1
Chelyabinsk,2022,healthcare,70,545,4
Chelyabinsk,2023,company,53,381,5
Chelyabinsk,2023,education,1815,33700,11
Chelyabinsk,2023,facility,239,4901,3
Chelyabinsk,2023,government,33,258,1
Chelyabinsk,2023,healthcare,89,629,4
Chelyabinsk,2024,company,10,88,5
Chelyabinsk,2024,education,455,13873,9
Chelyabinsk,2024,facility,46,1596,3
Chelyabinsk,2024,government,9,100,1
Chelyabinsk,2024,healthcare,24,246,3
Chuvash,2012,education,65,185,3
Chuvash,2012,facility,2,0,1
Chuvash,2013,education,66,248,3
Chuvash,2014,education,75,230,3
Chuvash,2014,facility,2,0,1
Chuvash,2015,education,125,377,3
Chuvash,2015,facility,1,0,1
Chuvash,2016,education,150,481,3
Chuvash,2016,facility,2,0,1
Chuvash,2017,education,166,477,3
Chuvash,2017,facility,2,0,1
Chuvash,2018,education,285,517,3
Chuvash,2018,facility,2,1,1
Chuvash,2019,education,393,657,3
Chuvash,2019,facility,1,4,1
Chuvash,2020,education,603,916,3
Chuvash,2020,facility,1,6,1
Chuvash,2021,education,761,1249,3
Chuvash,2021,facility,1,4,1
Chuvash,2022,education,601,1345,3
Chuvash,2022,facility,2,2,1
Chuvash,2023,education,475,1511,3
Chuvash,2023,facility,5,7,1
Chuvash,2024,education,79,381,3
City of St. Petersburg,2012,archive,290,3373,5
City of St. Petersburg,2012,company,44,573,11
City of St. Petersburg,2012,education,3461,26530,62
City of St. Petersburg,2012,facility,2752,30223,73
City of St. Petersburg,2012,government,16,59,3
City of St. Petersburg,2012,healthcare,116,2537,15
City of St. Petersburg,2012,nonprofit,47,932,3
City of St. Petersburg,2012,other,6,18,2
City of St. Petersburg,2013,archive,359,3839,5
City of St. Petersburg,2013,company,61,589,11
City of St. Petersburg,2013,education,4306,31571,65
City of St. Petersburg,2013,facility,3036,34090,74
City of St. Petersburg,2013,government,18,75,3
City of St. Petersburg,2013,healthcare,132,3409,15
City of St. Petersburg,2013,nonprofit,29,813,3
City of St. Petersburg,2013,other,6,26,2
City of St. Petersburg,2014,archive,327,4363,5
City of St. Petersburg,2014,company,77,582,11
City of St. Petersburg,2014,education,6042,36248,66
City of St. Petersburg,2014,facility,3265,36341,76
City of St. Petersburg,2014,government,21,65,3
City of St. Petersburg,2014,healthcare,202,3845,16
City of St. Petersburg,2014,nonprofit,73,1012,3
City of St. Petersburg,2014,other,8,10,2
City of St. Petersburg,2015,archive,423,5254,5
City of St. Petersburg,2015,company,90,738,10
City of St. Petersburg,2015,education,8775,46686,67
City of St. Petersburg,2015,facility,3990,40737,77
City of St. Petersburg,2015,government,24,91,3
City of St. Petersburg,2015,healthcare,256,4377,18
City of St. Petersburg,2015,nonprofit,49,1083,4
City of St. Petersburg,2015,other,3,15,2
City of St. Petersburg,2016,archive,367,5373,5
City of St. Petersburg,2016,company,122,789,10
City of St. Petersburg,2016,education,10735,55870,67
City of St. Petersburg,2016,facility,4373,44332,74
City of St. Petersburg,2016,government,34,83,3
City of St. Petersburg,2016,healthcare,305,4681,18
City of St. Petersburg,2016,nonprofit,65,1018,4
City of St. Petersburg,2016,other,10,17,2
City of St. Petersburg,2017,archive,438,6085,5
City of St. Petersburg,2017,company,126,839,11
City of St. Petersburg,2017,education,12437,69131,69
City of St. Petersburg,2017,facility,4699,49379,73
City of St. Petersburg,2017,government,41,121,3
City of St. Petersburg,2017,healthcare,380,5053,19
City of St. Petersburg,2017,nonprofit,75,1071,4
City of St. Petersburg,2017,other,4,26,2
City of St. Petersburg,2018,archive,468,6663,5
City of St. Petersburg,2018,company,172,906,11
City of St. Petersburg,2018,education,14559,84785,71
City of St. Petersburg,2018,facility,5787,57822,76
City of St. Petersburg,2018,government,40,156,3
City of St. Petersburg,2018,healthcare,444,5383,18
City of St. Petersburg,2018,nonprofit,214,1144,4
City of St. Petersburg,2018,other,13,32,2
City of St. Petersburg,2019,archive,598,9331,5
City of St. Petersburg,2019,company,164,1036,11
City of St. Petersburg,2019,education,17923,109821,72
